positive 576 68004 0.502617801047
negative 570 103368 0.497382198953
truthful 574 87033 0.500872600349
deceptive 572 84339 0.499127399651
******
2minute,0,1,1,0,0.0,9.67417382556e-06,1.14898946377e-05,0.0,1.2987012987e-05,1.77992951479e-05,2.08270418311e-05,1.07140943912e-05
knicked,0,1,0,1,0.0,9.67417382556e-06,0.0,1.18569108005e-05,1.2987012987e-05,1.77992951479e-05,1.04135209156e-05,2.14281887823e-05
foul,0,5,1,4,0.0,4.83708691278e-05,1.14898946377e-05,4.74276432018e-05,1.2987012987e-05,5.33978854437e-05,2.08270418311e-05,5.35704719559e-05
four,21,23,26,18,0.00030880536439,0.000222505997988,0.000298737260579,0.000213424394408,0.000285714285714,0.000213591541775,0.00028116506472,0.000203567793432
preface,1,0,0,1,1.47050173519e-05,0.0,0.0,1.18569108005e-05,2.5974025974e-05,8.89964757396e-06,1.04135209156e-05,2.14281887823e-05
canes,0,1,1,0,0.0,9.67417382556e-06,1.14898946377e-05,0.0,1.2987012987e-05,1.77992951479e-05,2.08270418311e-05,1.07140943912e-05
eligible,1,0,1,0,1.47050173519e-05,0.0,1.14898946377e-05,0.0,2.5974025974e-05,8.89964757396e-06,2.08270418311e-05,1.07140943912e-05
reclean,0,2,1,1,0.0,1.93483476511e-05,1.14898946377e-05,1.18569108005e-05,1.2987012987e-05,2.66989427219e-05,2.08270418311e-05,2.14281887823e-05
lore,1,0,1,0,1.47050173519e-05,0.0,1.14898946377e-05,0.0,2.5974025974e-05,8.89964757396e-06,2.08270418311e-05,1.07140943912e-05
lord,0,1,1,0,0.0,9.67417382556e-06,1.14898946377e-05,0.0,1.2987012987e-05,1.77992951479e-05,2.08270418311e-05,1.07140943912e-05
shaving,0,1,1,0,0.0,9.67417382556e-06,1.14898946377e-05,0.0,1.2987012987e-05,1.77992951479e-05,2.08270418311e-05,1.07140943912e-05
